Year,NOC,Women,Men
1960,AFG,0,16
1960,AHO,0,5
1960,ARE,0,123
1960,ARG,4,126
1960,AUS,62,256
1960,AUT,69,171
1960,BEL,20,130
1960,BGR,43,155
1960,BHS,0,14
1960,BMU,0,9
1960,BRA,1,85
1960,CAN,56,159
1960,CHE,16,245
1960,CHL,1,20
1960,COL,0,23
1960,CUB,11,10
1960,DEU,137,398
1960,DNK,13,99
1960,ESP,44,206
1960,ETH,0,15
1960,FIN,55,238
1960,FJI,0,3
1960,FRA,90,328
1960,GBR,109,319
1960,GHA,0,15
1960,GRC,0,59
1960,GUY,1,5
1960,HKG,0,4
1960,HTI,0,1
1960,HUN,72,244
1960,IDN,2,25
1960,IND,0,49
1960,IRL,3,60
1960,IRN,0,24
1960,IRQ,0,28
1960,ISL,1,20
1960,ISR,19,27
1960,ITA,93,367
1960,JPN,73,278
1960,KEN,0,30
1960,KOR,13,56
1960,LBN,0,27
1960,LBR,0,6
1960,LIE,0,17
1960,LKA,0,5
1960,LUX,13,104
1960,MAL,0,11
1960,MAR,0,111
1960,MCO,0,13
1960,MEX,13,97
1960,MLT,0,13
1960,MMR,0,10
1960,NGA,0,15
1960,NLD,71,102
1960,NOR,12,93
1960,NZL,12,47
1960,PAK,0,53
1960,PAN,6,2
1960,PER,0,33
1960,PHL,5,44
1960,POL,84,251
1960,PRI,1,28
1960,PRT,17,92
1960,RHO,1,11
1960,ROU,49,107
1960,SDN,0,13
1960,SGP,0,5
1960,SMR,0,13
1960,SWE,70,260
1960,TCH,50,174
1960,THA,0,24
1960,TPE,4,27
1960,TUN,0,56
1960,TUR,4,60
1960,UGA,0,16
1960,URS,129,376
1960,URY,0,42
1960,USA,131,402
1960,VEN,9,45
1960,VNM,0,5
1960,WIF,0,20
1960,YUG,22,163
1960,ZAF,9,67
1960,ZWE,10,0
1964,AFG,0,8
1964,AHO,0,4
1964,ARG,13,157
1964,AUS,97,309
1964,AUT,43,155
1964,BEL,8,77
1964,BGR,25,110
1964,BHS,0,12
1964,BMU,0,4
1964,BOL,0,1
1964,BRA,1,64
1964,CAN,70,219
1964,CHE,20,213
1964,CHL,0,27
1964,CIV,0,10
1964,CMR,0,2
1964,COG,0,2
1964,COL,0,40
1964,CRI,0,2
1964,CUB,3,73
1964,DEU,156,466
1964,DNK,10,66
1964,DOM,0,1
1964,DZA,0,7
1964,EGY,0,83
1964,ESP,5,74
1964,ETH,0,19
1964,FIN,32,206
1964,FRA,57,207
1964,GBR,88,278
1964,GHA,4,36
1964,GRC,0,26
1964,GUY,0,1
1964,HKG,1,49
1964,HUN,93,268
1964,IND,1,111
1964,IRL,2,33
1964,IRN,10,98
1964,IRQ,0,19
1964,ISL,1,14
1964,ISR,3,10
1964,ITA,33,316
1964,JAM,9,23
1964,JPN,117,424
1964,KEN,0,41
1964,KHM,0,15
1964,KOR,48,208
1964,LBN,0,20
1964,LBR,0,2
1964,LIE,0,15
1964,LKA,0,7
1964,LUX,2,25
1964,MAR,0,21
1964,MCO,0,1
1964,MDG,0,4
1964,MEX,6,122
1964,MLI,0,2
1964,MMR,0,12
1964,MNG,19,43
1964,MYS,6,75
1964,NER,0,1
1964,NGA,2,17
1964,NLD,35,135
1964,NOR,17,116
1964,NPL,0,6
1964,NZL,23,65
1964,PAK,0,47
1964,PAN,9,6
1964,PER,1,39
1964,PHL,14,56
1964,POL,89,237
1964,PRI,8,37
1964,PRK,11,9
1964,PRT,5,20
1964,ROU,64,199
1964,SEN,0,14
1964,SWE,77,201
1964,TCD,0,2
1964,TCH,58,198
1964,THA,10,57
1964,TPE,10,86
1964,TTO,0,18
1964,TUN,0,12
1964,TUR,0,37
1964,TZA,0,4
1964,UGA,3,16
1964,URS,147,423
1964,URY,0,29
1964,USA,167,452
1964,VEN,2,21
1964,VNM,0,23
1964,YUG,10,167
1964,ZMB,1,14
1964,ZWE,6,27
1968,AFG,0,5
1968,AHO,2,3
1968,ARG,15,129
1968,AUS,61,170
1968,AUT,30,141
1968,BEL,16,90
1968,BGR,49,156
1968,BHS,0,22
1968,BLZ,0,7
1968,BMU,0,6
1968,BOL,0,4
1968,BRA,4,85
1968,BRB,0,13
1968,CAF,0,1
1968,CAN,109,293
1968,CHE,21,196
1968,CHL,4,32
1968,CIV,0,11
1968,CMR,0,5
1968,COD,0,8
1968,COL,14,56
1968,CRI,3,24
1968,CUB,50,177
1968,DNK,12,87
1968,DOM,0,24
1968,DZA,0,9
1968,ECU,2,39
1968,EGY,0,35
1968,ESP,3,162
1968,ETH,0,26
1968,FIN,35,186
1968,FJI,0,1
1968,FRA,108,321
1968,FRG,135,434
1968,GBR,111,281
1968,GDR,104,327
1968,GHA,2,34
1968,GIN,0,15
1968,GRC,0,52
1968,GTM,4,63
1968,GUY,0,6
1968,HKG,0,25
1968,HND,0,6
1968,HUN,86,238
1968,IDN,0,6
1968,IND,0,30
1968,IRL,11,46
1968,IRN,0,26
1968,IRQ,0,4
1968,ISL,6,18
1968,ISR,7,32
1968,ITA,49,298
1968,JAM,11,24
1968,JPN,84,300
1968,KEN,3,47
1968,KOR,19,61
1968,KWT,0,2
1968,LBN,0,21
1968,LBY,0,1
1968,LIE,3,17
1968,LKA,0,3
1968,LUX,3,4
1968,MAR,0,33
1968,MCO,0,2
1968,MDG,0,6
1968,MEX,103,343
1968,MLI,0,2
1968,MLT,0,1
1968,MMR,0,4
1968,MNG,16,32
1968,MYS,0,35
1968,NER,0,2
1968,NGA,9,37
1968,NIC,0,16
1968,NLD,55,111
1968,NOR,65,128
1968,NZL,18,62
