Year,NOC,Gold,Silver,Bronze
1960,AFG,0,0,0
1960,AHO,0,0,0
1960,ARE,0,1,1
1960,ARG,0,3,1
1960,AUS,11,24,11
1960,AUT,2,4,3
1960,BEL,0,2,2
1960,BGR,1,3,3
1960,BHS,0,0,0
1960,BMU,0,0,0
1960,BRA,0,0,13
1960,CAN,3,26,1
1960,CHE,2,6,6
1960,CHL,0,0,0
1960,COL,0,0,0
1960,CUB,0,0,0
1960,DEU,38,37,23
1960,DNK,2,17,4
1960,ESP,0,0,14
1960,ETH,1,0,0
1960,FIN,6,4,9
1960,FJI,0,0,0
1960,FRA,1,6,8
1960,GBR,2,11,15
1960,GHA,0,1,0
1960,GRC,3,0,0
1960,GUY,0,0,0
1960,HKG,0,0,0
1960,HTI,0,0,0
1960,HUN,13,16,37
1960,IDN,0,0,0
1960,IND,0,13,0
1960,IRL,0,0,0
1960,IRN,0,1,3
1960,IRQ,0,0,1
1960,ISL,0,0,0
1960,ISR,0,0,0
1960,ITA,36,18,35
1960,JPN,9,10,12
1960,KEN,0,0,0
1960,KOR,0,0,0
1960,LBN,0,0,0
1960,LBR,0,0,0
1960,LIE,0,0,0
1960,LKA,0,0,0
1960,LUX,0,0,0
1960,MAL,0,0,0
1960,MAR,0,1,0
1960,MCO,0,0,0
1960,MEX,0,0,1
1960,MLT,0,0,0
1960,MMR,0,0,0
1960,NGA,0,0,0
1960,NLD,0,2,3
1960,NOR,5,6,0
1960,NZL,2,0,1
1960,PAK,13,0,1
1960,PAN,0,0,0
1960,PER,0,0,0
1960,PHL,0,0,0
1960,POL,4,12,16
1960,PRI,0,0,0
1960,PRT,0,2,0
1960,RHO,0,0,0
1960,ROU,3,1,11
1960,SDN,0,0,0
1960,SGP,0,1,0
1960,SMR,0,0,0
1960,SWE,7,4,5
1960,TCH,4,8,11
1960,THA,0,0,0
1960,TPE,0,1,0
1960,TUN,0,0,0
1960,TUR,7,2,0
1960,UGA,0,0,0
1960,URS,68,70,73
1960,URY,0,0,0
1960,USA,100,27,25
1960,VEN,0,0,1
1960,VNM,0,0,0
1960,WIF,0,0,5
1960,YUG,16,1,0
1960,ZAF,0,1,2
1960,ZWE,0,0,0
1964,AFG,0,0,0
1964,AHO,0,0,0
1964,ARG,0,1,0
1964,AUS,8,6,30
1964,AUT,5,9,3
1964,BEL,2,0,1
1964,BGR,3,5,2
1964,BHS,2,0,0
1964,BMU,0,0,0
1964,BOL,0,0,0
1964,BRA,0,0,12
1964,CAN,6,4,2
1964,CHE,1,4,1
1964,CHL,0,0,0
1964,CIV,0,0,0
1964,CMR,0,0,0
1964,COG,0,0,0
1964,COL,0,0,0
1964,CRI,0,0,0
1964,CUB,0,1,0
1964,DEU,25,48,53
1964,DNK,7,1,4
1964,DOM,0,0,0
1964,DZA,0,0,0
1964,EGY,0,0,0
1964,ESP,0,0,0
1964,ETH,1,0,0
1964,FIN,6,7,7
1964,FRA,4,17,17
1964,GBR,6,19,5
1964,GHA,0,0,1
1964,GRC,0,0,0
1964,GUY,0,0,0
1964,HKG,0,0,0
1964,HUN,42,7,7
1964,IND,15,0,0
1964,IRL,0,0,1
1964,IRN,0,0,2
1964,IRQ,0,0,0
1964,ISL,0,0,0
1964,ISR,0,0,0
1964,ITA,14,30,17
1964,JAM,0,0,0
1964,JPN,32,5,25
1964,KEN,0,0,1
1964,KHM,0,0,0
1964,KOR,0,2,1
1964,LBN,0,0,0
1964,LBR,0,0,0
1964,LIE,0,0,0
1964,LKA,0,0,0
1964,LUX,0,0,0
1964,MAR,0,0,0
1964,MCO,0,0,0
1964,MDG,0,0,0
1964,MEX,0,0,1
1964,MLI,0,0,0
1964,MMR,0,0,0
1964,MNG,0,0,0
1964,MYS,0,0,0
1964,NER,0,0,0
1964,NGA,0,0,1
1964,NLD,6,11,16
1964,NOR,3,6,6
1964,NPL,0,0,0
1964,NZL,4,0,2
1964,PAK,0,16,0
1964,PAN,0,0,0
1964,PER,0,0,0
1964,PHL,0,1,0
1964,POL,10,13,23
1964,PRI,0,0,0
1964,PRK,0,1,0
1964,PRT,0,0,0
1964,ROU,2,4,10
1964,SEN,0,0,0
1964,SWE,9,25,9
1964,TCD,0,0,0
1964,TCH,5,37,29
1964,THA,0,0,0
1964,TPE,0,0,0
1964,TTO,0,1,5
1964,TUN,0,1,1
1964,TUR,2,3,1
1964,TZA,0,0,0
1964,UGA,0,0,0
1964,URS,90,71,60
1964,URY,0,0,1
1964,USA,96,39,42
1964,VEN,0,0,0
1964,VNM,0,0,0
1964,YUG,2,11,2
1964,ZMB,0,0,0
1964,ZWE,0,0,0
1968,AFG,0,0,0
1968,AHO,0,0,0
1968,ARG,0,0,2
1968,AUS,5,35,11
1968,AUT,3,10,7
1968,BEL,0,1,2
1968,BGR,2,21,3
1968,BHS,0,0,0
1968,BLZ,0,0,0
1968,BMU,0,0,0
1968,BOL,0,0,0
1968,BRA,0,1,3
1968,BRB,0,0,0
1968,CAF,0,0,0
1968,CAN,4,4,22
1968,CHE,0,5,17
1968,CHL,0,0,0
1968,CIV,0,0,0
1968,CMR,0,1,0
1968,COD,0,0,0
1968,COL,0,0,0
1968,CRI,0,0,0
1968,CUB,0,10,0
1968,DNK,5,6,6
1968,DOM,0,0,0
1968,DZA,0,0,0
1968,ECU,0,0,0
1968,EGY,0,0,0
1968,ESP,0,0,0
1968,ETH,1,1,0
1968,FIN,2,4,6
1968,FJI,0,0,0
1968,FRA,16,8,12
1968,FRG,19,19,23
1968,GBR,9,5,5
1968,GDR,15,22,21
1968,GHA,0,0,0
1968,GIN,0,0,0
1968,GRC,0,0,1
1968,GTM,0,0,0
1968,GUY,0,0,0
1968,HKG,0,0,0
1968,HND,0,0,0
1968,HUN,32,20,29
1968,IDN,0,0,0
1968,IND,0,0,16
1968,IRL,0,0,0
1968,IRN,2,1,2
1968,IRQ,0,0,0
1968,ISL,0,0,0
1968,ISR,0,0,0
1968,ITA,13,8,20
1968,JAM,0,1,0
1968,JPN,16,25,22
1968,KEN,3,7,2
1968,KOR,0,1,1
1968,KWT,0,0,0
1968,LBN,0,0,0
1968,LBY,0,0,0
1968,LIE,0,0,0
1968,LKA,0,0,0
1968,LUX,0,0,0
1968,MAR,0,0,0
1968,MCO,0,0,0
1968,MDG,0,0,0
1968,MEX,3,3,3
1968,MLI,0,0,0
1968,MLT,0,0,0
1968,MMR,0,0,0
1968,MNG,0,1,3
1968,MYS,0,0,0
1968,NER,0,0,0
1968,NGA,0,0,0
1968,NIC,0,0,0
1968,NLD,9,10,4
1968,NOR,15,11,2
1968,NZL,5,0,2
1968,PAK,13,0,0
1968,PAN,0,0,0
1968,PER,0,0,0
1968,PHL,0,0,0
1968,POL,5,2,30
1968,PRI,0,0,0
1968,PRT,0,0,0
1968,PRY,0,0,0
1968,ROU,5,9,11
1968,SDN,0,0,0
1968,SEN,0,0,0
1968,SGP,0,0,0
1968,SLE,0,0,0
1968,SLV,0,0,0
1968,SMR,0,0,0
1968,SUR,0,0,0
1968,SWE,7,11,7
1968,SYR,0,0,0
1968,TCD,0,0,0
1968,TCH,8,26,16
1968,THA,0,0,0
1968,TPE,0,0,1
1968,TTO,0,0,0
1968,TUN,1,0,1
1968,TUR,2,0,0
1968,TZA,0,0,0
1968,UGA,0,1,1
1968,URS,91,69,69
1968,URY,0,0,0
1968,USA,100,37,36
1968,VEN,1,0,0
1968,VIR,0,0,0
1968,VNM,0,0,0
1968,YUG,13,14,2
1968,ZMB,0,0,0
1972,AFG,0,0,0
1972,AHO,0,0,0
1972,ALB,0,0,0
1972,ARG,0,1,0
1972,AUS,11,7,2
1972,AUT,1,3,4
1972,BEL,0,2,0
1972,BEN,0,0,0
1972,BFA,0,0,0
1972,BGR,6,10,6
1972,BHS,0,0,0
1972,BLZ,0,0,0
1972,BMU,0,0,0
1972,BOL,0,0,0
1972,BRA,0,0,2
1972,BRB,0,0,0
1972,CAN,0,3,9
1972,CHE,7,11,7
1972,CHL,0,0,0
1972,CIV,0,0,0
1972,CMR,0,0,0
1972,COG,0,0,0
1972,COL,0,1,2
1972,CRI,0,0,0
1972,CUB,3,1,18
1972,DNK,1,0,0
1972,DOM,0,0,0
1972,DZA,0,0,0
1972,ECU,0,0,0
1972,EGY,0,0,0
1972,ESP,1,0,1
1972,ETH,0,0,2
1972,FIN,3,10,7
1972,FJI,0,0,0
1972,FRA,2,6,17
1972,FRG,48,21,43
1972,GAB,0,0,0
1972,GBR,8,9,12
1972,GDR,35,67,69
1972,GHA,0,0,1
1972,GRC,0,2,0
1972,GTM,0,0,0
1972,GUY,0,0,0
1972,HKG,0,0,0
1972,HTI,0,0,0
1972,HUN,10,46,25
1972,IDN,0,0,0
1972,IND,0,0,14
1972,IRL,0,0,0
1972,IRN,0,2,1
1972,ISL,0,0,0
1972,ISR,0,0,0
1972,ITA,12,8,14
1972,JAM,0,0,1
1972,JPN,30,20,9
1972,KEN,5,3,4
1972,KHM,0,0,0
1972,KOR,0,1,0
1972,KWT,0,0,0
1972,LBN,0,1,0
1972,LBR,0,0,0
1972,LIE,0,0,0
1972,LKA,0,0,0
1972,LSO,0,0,0
1972,LUX,0,0,0
1972,MAR,0,0,0
1972,MCO,0,0,0
1972,MDG,0,0,0
1972,MEX,0,1,0
1972,MLI,0,0,0
1972,MLT,0,0,0
1972,MMR,0,0,0
1972,MNG,0,1,0
