Year,NOC,Continent,PIB,Medals,PIB/MEDALS
1960,AFG,Asia,537777811.111111,0,0.0
1960,AUS,Oceania,18606786874.23,46,404495366.83108693
1960,AUT,Europe,6592693841.18495,9,732521537.9094388
1960,BEL,Europe,11658722590.99,4,2914680647.7475
1960,BHS,North America,169803921.568627,0,0.0
1960,BMU,North America,84466654.0769119,0,0.0
1960,BRA,South America,17030465539.3906,13,1310035810.722354
1960,CAN,North America,40461721692.6468,30,1348724056.4215598
1960,CHE,Europe,9522746719.21614,14,680196194.2297243
1960,CHL,South America,4110000000.0,0,0.0
1960,COL,South America,4031152976.63904,0,0.0
1960,ESP,Europe,12072126075.397,14,862294719.6712142
1960,FIN,Europe,5224102195.52771,19,274952747.1330374
1960,FJI,Oceania,112328422.113084,0,0.0
1960,FRA,Europe,62225478000.8822,15,4148365200.0588136
1960,GBR,Europe,73233967692.1028,28,2615498846.1465287
1960,GHA,Africa,1217086834.73389,1,1217086834.73389
1960,GRC,Europe,4335186016.83942,3,1445062005.61314
1960,GUY,South America,170215248.206265,0,0.0
1960,HKG,Asia,1320796651.69457,0,0.0
1960,HTI,North America,273187200.0,0,0.0
1960,IND,Asia,37029883876.1839,13,2848452605.8603
1960,IRL,Europe,1939329775.43739,0,0.0
1960,IRN,Asia,4199134389.9037,4,1049783597.475925
1960,IRQ,Asia,1684121534.58415,1,1684121534.58415
1960,ISL,Europe,248434096.968726,0,0.0
1960,ISR,Asia,2598500000.0,0,0.0
1960,ITA,Europe,40385288344.1911,89,453767284.76619214
1960,JPN,Asia,44307342950.4,31,1429269127.4322581
1960,KEN,Africa,791265458.818076,0,0.0
1960,KOR,Asia,3958190758.62419,0,0.0
1960,LKA,Asia,1409873949.57983,0,0.0
1960,LUX,Europe,703925705.942958,0,0.0
1960,MAR,Africa,2037150716.33238,1,2037150716.33238
1960,MEX,North America,13040000000.0,1,13040000000.0
1960,NGA,Africa,4196092258.15484,0,0.0
1960,NLD,Europe,12276734172.0828,5,2455346834.41656
1960,NOR,Europe,5163271598.15702,11,469388327.1051836
1960,NZL,Oceania,5485854791.97096,3,1828618263.99032
1960,PAK,Asia,3749265014.69971,14,267804643.90712214
1960,PAN,North America,537147100.0,0,0.0
1960,PER,South America,2571908062.08791,0,0.0
1960,PHL,Asia,7515886650.62035,0,0.0
1960,PRI,North America,1691900000.0,0,0.0
1960,PRT,Europe,3193200404.37297,2,1596600202.186485
1960,SDN,Africa,1307333333.33333,0,0.0
1960,SGP,Asia,704756304.717104,1,704756304.717104
1960,SWE,Europe,15822585033.5764,16,988911564.598525
1960,THA,Asia,2760747471.88624,0,0.0
1960,TUR,Asia,13983572895.2772,9,1553730321.6974669
1960,UGA,Africa,423008385.744235,0,0.0
1960,URY,South America,1242289239.20493,0,0.0
1960,USA,North America,543300000000.0,152,3574342105.263158
1960,VEN,South America,7779090909.09091,1,7779090909.09091
1960,ZAF,Africa,8748596504.23581,3,2916198834.74527
1960,ZWE,Africa,1052990400.0,0,0.0
1964,AFG,Asia,800000044.444444,0,0.0
1964,ARG,South America,25605249381.7597,1,25605249381.7597
1964,AUS,Oceania,23801097547.3177,44,540934035.1663114
1964,AUT,Europe,9169983885.71185,17,539410816.8065794
1964,BEL,Europe,15960106680.6732,3,5320035560.2244005
1964,BHS,North America,266666666.666667,2,133333333.3333335
1964,BMU,North America,107566650.633857,0,0.0
1964,BOL,South America,539491477.320156,0,0.0
1964,BRA,South America,20963733694.9749,12,1746977807.9145749
1964,CAN,North America,49377522896.703,12,4114793574.7252502
1964,CHE,Europe,14480556571.5476,6,2413426095.257933
1964,CHL,South America,5982347826.08696,0,0.0
1964,CIV,Africa,921063266.445521,0,0.0
1964,CMR,Africa,776650126.190072,0,0.0
1964,COG,Africa,185693724.845331,0,0.0
1964,COL,South America,5973366666.66667,0,0.0
1964,CRI,North America,542578367.242598,0,0.0
1964,DOM,North America,1025599900.0,0,0.0
1964,DZA,Africa,2909292864.23204,0,0.0
1964,ESP,Europe,21343844643.7341,0,0.0
1964,FIN,Europe,7766655085.78588,20,388332754.289294
1964,FRA,Europe,94007851047.3678,38,2473890817.0359945
1964,GBR,Europe,94407558351.1616,30,3146918611.7053866
1964,GHA,Africa,1731092436.97479,1,1731092436.97479
1964,GRC,Europe,6669673257.1183,0,0.0
1964,GUY,South America,194773376.888526,0,0.0
1964,HKG,Asia,2206466461.26434,0,0.0
1964,IND,Asia,56480289940.9899,15,3765352662.73266
1964,IRL,Europe,2766608945.87402,1,2766608945.87402
1964,IRN,Asia,5379845647.70139,2,2689922823.850695
1964,IRQ,Asia,2340521142.5371,0,0.0
1964,ISL,Europe,434267936.914583,0,0.0
1964,ISR,Asia,3405333333.33333,0,0.0
1964,ITA,Europe,63175417019.0094,61,1035662574.0821213
1964,JAM,North America,897931401.371973,0,0.0
1964,JPN,Asia,81749006381.5111,62,1318532360.9921143
1964,KEN,Africa,998759333.643326,1,998759333.643326
1964,KHM,Asia,782857128.571429,0,0.0
1964,KOR,Asia,3458939357.73377,3,1152979785.9112566
1964,LKA,Asia,1309747899.15966,0,0.0
1964,LUX,Europe,903158753.943622,0,0.0
1964,MAR,Africa,2798339768.79755,0,0.0
1964,MDG,Africa,802482182.93232,0,0.0
1964,MEX,North America,20080000000.0,1,20080000000.0
1964,MMR,Asia,475197381.868256,0,0.0
1964,MYS,Asia,2674441395.53116,0,0.0
1964,NER,Africa,582816358.347155,0,0.0
1964,NGA,Africa,5552822483.55033,1,5552822483.55033
1964,NLD,Europe,18699380731.3465,33,566647900.949894
1964,NOR,Europe,7159202706.48027,15,477280180.43201804
1964,NPL,Asia,496098775.308642,0,0.0
1964,NZL,Oceania,7274144350.81809,6,1212357391.803015
1964,PAK,Asia,5204955900.88198,16,325309743.80512375
1964,PAN,North America,776137500.0,0,0.0
1964,PER,South America,4356913870.14925,0,0.0
1964,PHL,Asia,5953766853.70844,1,5953766853.70844
1964,PRI,North America,2570500000.0,0,0.0
1964,PRT,Europe,4235608177.67102,0,0.0
1964,SEN,Africa,1188930567.7084,0,0.0
1964,SWE,Europe,22532416750.0125,43,524009691.86075586
1964,TCD,Africa,392247517.600415,0,0.0
1964,THA,Asia,3889129942.30769,0,0.0
1964,TTO,North America,711893367.55527,6,118648894.59254499
1964,TUR,Asia,11177777777.7778,6,1862962962.9629667
1964,UGA,Africa,589056603.773585,0,0.0
1964,URY,South America,1975701816.46615,1,1975701816.46615
1964,USA,North America,685800000000.0,177,3874576271.1864405
1964,VEN,South America,8099318181.81818,0,0.0
1964,ZMB,Africa,839428571.428571,0,0.0
1964,ZWE,Africa,1217138000.0,0,0.0
1968,AFG,Asia,1373333366.66667,0,0.0
1968,ARG,South America,26436857247.4696,2,13218428623.7348
1968,AUS,Oceania,32716989584.4999,51,641509599.6960765
1968,AUT,Europe,12440625312.8685,20,622031265.643425
1968,BEL,Europe,21376353113.475,3,7125451037.825
1968,BHS,North America,444901960.784314,0,0.0
1968,BLZ,North America,44910179.6407186,0,0.0
1968,BMU,North America,150000000.0,0,0.0
1968,BOL,South America,857912457.912458,0,0.0
1968,BRA,South America,33930457425.2613,4,8482614356.315325
1968,CAF,Africa,191767436.956884,0,0.0
1968,CAN,North America,71829810519.8955,30,2394327017.3298497
1968,CHE,Europe,18942729779.1,22,861033171.7772727
1968,CHL,South America,7167086956.52174,0,0.0
1968,CIV,Africa,1281281245.67032,0,0.0
1968,CMR,Africa,1046191192.44383,1,1046191192.44383
1968,COD,Africa,3909780538.92216,0,0.0
1968,COL,South America,5960212869.12968,0,0.0
1968,CRI,North America,773841494.339623,0,0.0
1968,DNK,Europe,13505573866.6667,17,794445521.5686294
1968,DOM,North America,1079100000.0,0,0.0
1968,DZA,Africa,3852115816.97758,0,0.0
1968,ECU,South America,2582180794.1855,0,0.0
1968,EGY,Africa,5932242990.65421,0,0.0
1968,ESP,Europe,31475548481.4095,0,0.0
1968,FIN,Europe,8823033880.32993,12,735252823.3608274
1968,FJI,Oceania,166952937.135005,0,0.0
1968,FRA,Europe,129785441507.456,36,3605151152.9848886
1968,GBR,Europe,107759910067.889,19,5671574214.0994215
1968,GHA,Africa,1666910166.289,0,0.0
1968,GRC,Europe,10090675902.5364,1,10090675902.5364
1968,GTM,North America,1610500000.0,0,0.0
1968,GUY,South America,229750000.0,0,0.0
1968,HKG,Asia,2716964388.42418,0,0.0
1968,HND,North America,646800000.0,0,0.0
1968,IDN,Asia,7076465295.27356,0,0.0
1968,IND,Asia,53085455870.6667,16,3317840991.916669
1968,IRL,Europe,3278584478.33023,0,0.0
1968,IRN,Asia,8623172959.89803,5,1724634591.979606
1968,IRQ,Asia,2896947633.71605,0,0.0
1968,ISL,Europe,474399471.622359,0,0.0
1968,ISR,Asia,4619000000.0,0,0.0
1968,ITA,Europe,87942231678.3505,41,2144932479.959768
1968,JAM,North America,1083883355.33421,1,1083883355.33421
1968,JPN,Asia,146601072685.511,63,2327001153.73827
1968,KEN,Africa,1353295457.5261,12,112774621.46050833
1968,KOR,Asia,6119284294.23459,2,3059642147.117295
1968,KWT,Asia,2663119574.34892,0,0.0
1968,LKA,Asia,1801344537.81513,0,0.0
1968,LUX,Europe,1066447130.82052,0,0.0
1968,MAR,Africa,3271415867.99723,0,0.0
1968,MDG,Africa,1031669636.37161,0,0.0
1968,MEX,North America,29360000000.0,9,3262222222.2222223
1968,MLI,Africa,343771973.331357,0,0.0
1968,MMR,Asia,531186357.405981,0,0.0
1968,MYS,Asia,3330393309.81315,0,0.0
1968,NER,Africa,641214210.668969,0,0.0
1968,NGA,Africa,5200895982.08036,0,0.0
1968,NIC,North America,695899980.428571,0,0.0
1968,NLD,Europe,27817605743.2503,23,1209461119.271752
1968,NOR,Europe,10159934136.7838,28,362854790.59942144
