Year,NOC,Sport 1,Medals 1,Sport 2,Medals 2,Sport 3,Medals 3,Sport 4,Medals 4,Sport 5,Medals 5
1960,ARE,Boxing,1,Wrestling,1,,,,,,
1960,ARG,Sailing,3,Boxing,1,,,,,,
1960,AUS,Swimming,34,Equestrianism,6,Athletics,4,Boxing,2,,
1960,AUT,Alpine Skiing,5,Rowing,2,Shooting,1,Ski Jumping,1,,
1960,BEL,Cycling,2,Athletics,1,Sailing,1,,,,
1960,BGR,Wrestling,6,Gymnastics,1,,,,,,
1960,BRA,Basketball,12,Swimming,1,,,,,,
1960,CAN,Ice Hockey,17,Rowing,9,Figure Skating,3,Alpine Skiing,1,,
1960,CHE,Equestrianism,6,Sailing,3,Alpine Skiing,2,Rowing,2,Shooting,1
1960,DEU,Athletics,22,Rowing,18,Cycling,11,Swimming,10,Canoeing,7
1960,DNK,Football,12,Sailing,6,Canoeing,5,,,,
1960,ESP,Hockey,14,,,,,,,,
1960,ETH,Athletics,1,,,,,,,,
1960,FIN,Cross Country Skiing,10,Rowing,2,Athletics,1,Biathlon,1,Boxing,1
1960,FRA,Rowing,5,Equestrianism,4,Alpine Skiing,3,Athletics,2,Wrestling,1
1960,GBR,Athletics,11,Fencing,7,Boxing,3,Swimming,3,Diving,2
1960,GHA,Boxing,1,,,,,,,,
1960,GRC,Sailing,3,,,,,,,,
1960,HUN,Football,16,Water Polo,14,Fencing,13,Canoeing,12,Modern Pentathlon,5
1960,IND,Hockey,13,,,,,,,,
1960,IRN,Wrestling,3,Weightlifting,1,,,,,,
1960,IRQ,Weightlifting,1,,,,,,,,
1960,ITA,Fencing,23,Cycling,14,Water Polo,12,Rowing,9,Gymnastics,8
1960,JPN,Gymnastics,14,Swimming,13,Boxing,1,Shooting,1,Weightlifting,1
1960,MAR,Athletics,1,,,,,,,,
1960,MEX,Diving,1,,,,,,,,
1960,NLD,Swimming,3,Figure Skating,1,Speed Skating,1,,,,
1960,NOR,Cross Country Skiing,5,Speed Skating,3,Sailing,2,Nordic Combined,1,,
1960,NZL,Athletics,3,,,,,,,,
1960,PAK,Hockey,13,Wrestling,1,,,,,,
1960,POL,Athletics,10,Boxing,7,Fencing,6,Canoeing,3,Speed Skating,2
1960,PRT,Sailing,2,,,,,,,,
1960,ROU,Gymnastics,6,Wrestling,3,Athletics,2,Boxing,1,Canoeing,1
1960,SGP,Weightlifting,1,,,,,,,,
1960,SWE,Cross Country Skiing,7,Canoeing,3,Wrestling,2,Athletics,1,Biathlon,1
1960,TCH,Rowing,11,Gymnastics,7,Boxing,2,Athletics,1,Figure Skating,1
1960,TPE,Athletics,1,,,,,,,,
1960,TUR,Wrestling,9,,,,,,,,
1960,URS,Gymnastics,36,Athletics,24,Fencing,20,Ice Hockey,17,Basketball,12
1960,USA,Swimming,40,Athletics,32,Ice Hockey,17,Basketball,12,Rowing,7
1960,VEN,Shooting,1,,,,,,,,
1960,WIF,Athletics,5,,,,,,,,
1960,YUG,Football,16,Wrestling,1,,,,,,
1960,ZAF,Boxing,2,Athletics,1,,,,,,
1964,ARG,Equestrianism,1,,,,,,,,
1964,AUS,Swimming,20,Hockey,14,Athletics,6,Sailing,3,Judo,1
1964,AUT,Alpine Skiing,7,Luge,5,Bobsleigh,4,Figure Skating,1,,
1964,BEL,Cycling,2,Athletics,1,,,,,,
1964,BGR,Wrestling,8,Boxing,1,Shooting,1,,,,
1964,BHS,Sailing,2,,,,,,,,
1964,BRA,Basketball,12,,,,,,,,
1964,CAN,Bobsleigh,4,Figure Skating,3,Athletics,2,Rowing,2,Judo,1
1964,CHE,Equestrianism,4,Judo,1,Rowing,1,,,,
1964,CUB,Athletics,1,,,,,,,,
1964,DEU,Football,19,Rowing,17,Swimming,15,Equestrianism,13,Athletics,10
1964,DNK,Rowing,4,Sailing,4,Canoeing,2,Cycling,2,,
1964,ETH,Athletics,1,,,,,,,,
1964,FIN,Cross Country Skiing,11,Shooting,2,Ski Jumping,2,Speed Skating,2,Athletics,1
1964,FRA,Fencing,13,Alpine Skiing,6,Athletics,5,Equestrianism,4,Rowing,3
1964,GBR,Athletics,18,Rowing,4,Bobsleigh,2,Sailing,2,Equestrianism,1
1964,GHA,Boxing,1,,,,,,,,
1964,HUN,Football,14,Fencing,12,Water Polo,12,Athletics,4,Modern Pentathlon,4
1964,IND,Hockey,15,,,,,,,,
1964,IRL,Boxing,1,,,,,,,,
1964,IRN,Wrestling,2,,,,,,,,
1964,ITA,Cycling,15,Fencing,11,Bobsleigh,8,Equestrianism,8,Boxing,5
1964,JPN,Volleyball,21,Gymnastics,20,Wrestling,6,Swimming,5,Judo,4
1964,KEN,Athletics,1,,,,,,,,
1964,KOR,Boxing,1,Judo,1,Wrestling,1,,,,
1964,MEX,Boxing,1,,,,,,,,
1964,NGA,Boxing,1,,,,,,,,
1964,NLD,Rowing,10,Swimming,10,Cycling,8,Canoeing,2,Figure Skating,1
1964,NOR,Speed Skating,7,Ski Jumping,4,Cross Country Skiing,2,Biathlon,1,Nordic Combined,1
1964,NZL,Athletics,4,Sailing,2,,,,,,
1964,PAK,Hockey,16,,,,,,,,
1964,PHL,Boxing,1,,,,,,,,
1964,POL,Athletics,14,Fencing,11,Volleyball,10,Boxing,7,Weightlifting,4
1964,ROU,Canoeing,9,Athletics,3,Wrestling,3,Shooting,1,,
1964,SWE,Ice Hockey,17,Cross Country Skiing,10,Sailing,5,Cycling,4,Canoeing,3
1964,TCH,Football,17,Ice Hockey,17,Rowing,11,Volleyball,11,Gymnastics,9
1964,TUN,Athletics,1,Boxing,1,,,,,,
1964,TUR,Wrestling,6,,,,,,,,
1964,URS,Gymnastics,29,Volleyball,23,Athletics,18,Fencing,18,Ice Hockey,17
1964,URY,Boxing,1,,,,,,,,
1964,USA,Swimming,61,Athletics,33,Rowing,19,Basketball,12,Sailing,11
1964,YUG,Water Polo,11,Gymnastics,2,Wrestling,2,,,,
1964,PRK,Speed Skating,1,,,,,,,,
1964,TTO,Athletics,6,,,,,,,,
1968,ARG,Boxing,1,Rowing,1,,,,,,
1968,AUS,Swimming,18,Hockey,14,Rowing,9,Athletics,6,Equestrianism,4
1968,AUT,Alpine Skiing,5,Bobsleigh,4,Luge,3,Athletics,2,Canoeing,2
1968,BEL,Cycling,2,Weightlifting,1,,,,,,
1968,BGR,Football,18,Wrestling,6,Boxing,2,,,,
1968,BRA,Sailing,2,Athletics,1,Boxing,1,,,,
1968,CAN,Ice Hockey,18,Swimming,7,Equestrianism,3,Alpine Skiing,2,,
1968,CHE,Rowing,5,Bobsleigh,4,Alpine Skiing,3,Equestrianism,3,Sailing,3
1968,CUB,Athletics,8,Boxing,2,,,,,,
1968,DNK,Cycling,8,Rowing,5,Sailing,3,Canoeing,1,,
1968,ETH,Athletics,2,,,,,,,,
1968,FIN,Cross Country Skiing,6,Speed Skating,2,Athletics,1,Boxing,1,Gymnastics,1
1968,FRA,Alpine Skiing,8,Cycling,6,Fencing,6,Athletics,5,Equestrianism,4
1968,GBR,Equestrianism,7,Sailing,5,Athletics,4,Boxing,1,Shooting,1
1968,GRC,Wrestling,1,,,,,,,,
1968,HUN,Fencing,19,Football,17,Canoeing,12,Water Polo,11,Athletics,7
1968,IND,Hockey,16,,,,,,,,
1968,IRN,Wrestling,3,Weightlifting,2,,,,,,
1968,ITA,Cycling,11,Rowing,7,Bobsleigh,6,Fencing,6,Sailing,3
1968,JPN,Volleyball,20,Gymnastics,17,Football,16,Wrestling,5,Weightlifting,3
1968,KEN,Athletics,11,Boxing,1,,,,,,
1968,KOR,Boxing,2,,,,,,,,
1968,MEX,Boxing,4,Swimming,2,Athletics,1,Diving,1,Fencing,1
1968,NLD,Speed Skating,9,Cycling,6,Rowing,6,Athletics,1,Swimming,1
1968,NOR,Cross Country Skiing,12,Biathlon,5,Canoeing,4,Speed Skating,4,Sailing,2
1968,NZL,Rowing,5,Athletics,1,Shooting,1,,,,
1968,PAK,Hockey,13,,,,,,,,
1968,POL,Volleyball,12,Fencing,11,Boxing,5,Weightlifting,5,Athletics,2
1968,ROU,Canoeing,7,Fencing,6,Athletics,4,Wrestling,3,Bobsleigh,2
1968,SWE,Cross Country Skiing,10,Cycling,5,Biathlon,4,Sailing,3,Speed Skating,2
1968,TCH,Ice Hockey,18,Volleyball,12,Gymnastics,11,Athletics,2,Ski Jumping,2
1968,TPE,Athletics,1,,,,,,,,
1968,TUN,Athletics,2,,,,,,,,
1968,TUR,Wrestling,2,,,,,,,,
1968,UGA,Boxing,2,,,,,,,,
1968,URS,Gymnastics,28,Fencing,23,Volleyball,23,Swimming,22,Ice Hockey,18
1968,USA,Swimming,83,Athletics,37,Basketball,12,Boxing,7,Diving,6
1968,VEN,Boxing,1,,,,,,,,
1968,YUG,Basketball,12,Water Polo,11,Swimming,2,Wrestling,2,Boxing,1
1968,CMR,Boxing,1,,,,,,,,
1968,JAM,Athletics,1,,,,,,,,
1968,MNG,Wrestling,4,,,,,,,,
